artist,comment,level,lr2_bmsid,md5,name_diff,title,url,url_diff,player,clear_player,theoretical_score,top_score,average_score,std_dev_score,optimized_p,bpi_scores
s-don / 篠乃ちよ / obj.swa,Download - > SABUN PACKAGEhttp://swamelo.web.fc2.com/_gamegame_SPSL.bmsからもDL可,14,212992,330913db5edca6306dbd0443e351bb91,http://l-bms.com/2nd/,Gamegame (bms edit plus+),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=336&event=83,http://l-bms.com/2nd/,3603,997,4778,4754,4391.674,144.4186,0.5,"[4742.81, 4729.24, 4714.86, 4700.44, 4686.74, 4674.46, 4664.22, 4656.54, 4651.77]"
rider,GENOSIDE段位認定 十段2曲目,2,130143,332caa24984ce2ec3923577fb661ecfa,,Freja [SP ANOTHER],http://flowermaster.web.fc2.com/riderbms/index.html,,13020,999,3340,3324,3012.972,98.5164,0.5,"[3313.35, 3300.72, 3286.9, 3272.72, 3259.02, 3246.59, 3236.13, 3228.23, 3223.31]"
ginkiha / 差分 赤い人,差分 右クリックで保存赤い人難易度表 http://akred.web.fc2.com/ak-red.html,2,144083,3347b6bf84ec962945eb40ebbfcda607,http://akred.web.fc2.com/bmsfile/Fadingstar-HARD.bms,Fading Star [HARD],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=397&event=83,http://akred.web.fc2.com/bmsfile/Fadingstar-HARD.bms,11189,1000,3340,3334,3230.595,43.5432,0.5,"[3329.88, 3322.98, 3314.91, 3306.24, 3297.59, 3289.57, 3282.71, 3277.46, 3274.18]"
sun3 / BGA:Johnny,所属チーム「Tribullets Decrements」,7,39365,33ae18837ec81491c38b9acccda8b16d,,Messier 333 (ANOTHER7),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=113&event=60,,12186,1000,4728,4706,4416.989,101.6227,0.5,"[4695.62, 4683.37, 4670.42, 4657.46, 4645.17, 4634.17, 4625.0, 4618.12, 4613.86]"
sun3 / BGA:Johnny,http://yukisite.com/johnny/others/monooki.htmlBGAはこれ,9,131848,33e3f66447a3639a2bb6b7aa5889fbfd,http://nekokan.dyndns.info/~lobsak/bms/repair_pack.zip,ティアオイエツォン (Extra7),http://web.archive.org/web/20050312035042/http://succinicacid.hp.infoseek.co.jp/cgi-bin/downcnt101/downcnt.cgi/tia.GCA,http://nekokan.dyndns.info/~lobsak/bms/repair_pack.zip,5399,998,3628,3559,3174.3136,122.5734,0.5,"[3564.98, 3552.31, 3539.88, 3528.13, 3517.45, 3508.19, 3500.67, 3495.11, 3491.71]"
まもののむれ obj:ctc,"読み込みでLR2が落ちる場合のBGA削減版
差分同梱、解凍後容量40MB
http://www1.axfc.net/u/3598709/bms",15,203743,34477cc17921837cb65f5bff8d53f55c,http://ctconnected.blog.fc2.com/blog-entry-1.html,りりりくろ！！ [Abusive],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=433&event=88,http://ctconnected.blog.fc2.com/blog-entry-1.html,3203,998,6666,6520,5828.7465,225.9097,0.5,"[6572.2, 6557.26, 6542.9, 6529.54, 6517.54, 6507.24, 6498.93, 6492.83, 6489.1]"
tarolabo × 月雫 浪漫映像制作倶楽部,同梱譜面(Insane),1,112051,34e09ddf69ae8bdca128db1cc39d163a,,地球塔デヴォーション,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=346&event=74,,14989,999,3124,3112,2925.2322,54.1152,0.511731905014398,"[3104.06, 3094.41, 3083.74, 3072.69, 3061.88, 3051.95, 3043.48, 3036.95, 3032.79]"
メスクラ (エヴァたん＆メコたん),発狂BMS段位認定 皆伝1曲目,23,1547,34ef021066ca17f8014bd6bc0973453d,,アズール リミックス <MANIAC>,http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105,,3375,584,4740,4499,3805.7894,233.0626,0.5,"[4624.28, 4611.23, 4598.97, 4587.76, 4577.85, 4569.45, 4562.73, 4557.83, 4554.85]"
Lime / 温泉の力 obj:ELIGOS,追加BGAファイルです。譜面自体にBGA定義はあるのでそのまま追加するだけで認識されます。https://www.dropbox.com/s/w74xenjrpad102z/movie.mpeg?dl=05小節目の出だしからズレてるのでズレチェックを徹底してください。↑同梱ANOTHER譜面と比較すればズレはありません,10,215458,350d06e51618cebbd037afcf762fb699,http://absolute.pv.land.to/uploader/src/up5668.rar,Harmony (*｡> × <｡*人) ☆ﾟ.*･｡ﾟ,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=280&event=96,http://absolute.pv.land.to/uploader/src/up5668.rar,5002,999,3664,3658,3491.2462,72.4416,0.5,"[3652.82, 3644.16, 3633.75, 3622.37, 3610.89, 3600.14, 3590.9, 3583.81, 3579.36]"
NAOSUKE / obj:あーさん,http://tm2.toymusical.net/download.html,4,57118,35888c4aeed8af4fd85f7a32d168ee58,http://drowsy.hannnari.com/toy.html,Caixa D' Aqua,http://toymusical.bms.ms/tm2/download.html,http://drowsy.hannnari.com/toy.html,9387,1000,3758,3744,3555.848,73.147,0.5,"[3735.45, 3725.47, 3714.67, 3703.67, 3693.11, 3683.57, 3675.56, 3669.53, 3665.78]"
